type,subCity,price,bedRooms,rooms,floor,area,stype
Old,didube,85200,1,2,5,34,sale
Old,vazisubani,87900,2,3,5,80,sale
New,saburtalo,330000,3,4,3,135,sale
Old,vazisubani,88000,1,2,5,67,sale
New,saburtalo,280000,2,3,3,130,sale
New,vazisubani,85000,1,2,4,54,sale
Old,sanzona,135800,2,3,5,83,sale
New,saburtalo,3e+05,2,3,3,120,sale
New,sanzona,109200,2,3,6,82,sale
New,massive,315000,3,4,6,118,sale
New,saburtalo,111800,1,2,14,47,sale
Old,samgori,183700,3,4,3,115,sale
Old,(i-v),134300,2,2,5,68,sale
Old,saburtalo,106000,1,2,5,33,sale
Old,vake,234300,2,3,1,122,sale
Old,chugureti,44500,1,2,3,55,sale
Old,vake,234300,2,3,1,122,sale
Old,vake,234300,2,3,1,122,sale
New,saburtalo,450000,2,3,10,140,sale
New,saburtalo,210100,1,2,3,61,sale
New,saburtalo,223900,1,2,3,65,sale
New,saburtalo,151300,1,2,7,55,sale
New,vake,231800,2,3,3,100,sale
New,digomi,93200,1,2,6,50,sale
Old,saburtalo,176000,2,3,3,70,sale
Old,massive,175000,2,3,11,85,sale
New,temka,98500,2,3,5,53,sale
Old,vake,426000,3,5,2,200,sale
Old,varketili,107800,2,3,5,70,sale
Old,saburtalo,148500,2,3,6,62,sale
Old,varketili,114500,2,3,3,67,sale
New,massive,126500,1,2,2,40,sale
New,saburtalo,160000,1,2,6,47,sale
Old,isani,101200,2,3,4,76,sale
Old,afrika,88200,2,3,3,80,sale
New,massive,89200,1,2,9,44,sale
Old,gldani,135800,3,4,2,75,sale
Old,varketili,125000,3,4,4,80,sale
Old,vake,130000,2,5,2,140,sale
Old,saburtalo,213000,2,3,2,86,sale
Old,chugureti,43000,0,1,1,27,sale
New,gldani,87900,1,2,13,49,sale
Old,gldani,111800,2,3,5,90,sale
Old,gldani,98700,1,2,7,69,sale
New,digomi,74600,1,2,7,52,sale
New,didube,103800,1,2,10,39,sale
Old,saburtalo,115000,1,3,1,60,sale
New,didube,111800,1,3,8,40,sale
Old, (i-vii),2130200,10,18,5,800,sale
Old,saburtalo,183000,2,3,8,80,sale
Old, (i-vii),167800,2,2,2,67,sale
New,didube,125100,1,2,6,51,sale
New,didube,111800,1,2,5,45,sale
Old,nadzaladevi,114500,2,3,4,75,sale
New,didube,119800,1,2,11,48,sale
New,didube,133100,1,2,7,52,sale
New,didube,138500,2,3,10,59,sale
Old,(i-v),111800,2,3,3,78,sale
New,saburtalo,106500,1,2,3,49,sale
Old,(i-v),226300,3,4,5,100,sale
New,digomi,62800,2,2,3,52,sale
New,saburtalo,330000,3,4,9,141,sale
Old,(i-v),162400,3,4,9,100,sale
Old,saburtalo,2e+05,2,4,3,100,sale
New,saburtalo,302500,3,4,9,120,sale
New,vake,159300,1,2,2,70,sale
New,gldani,135800,2,3,4,65,sale
New,nadzaladevi,138500,3,4,10,92,sale
New,samgori,112000,2,3,9,65,sale
New,massive,266300,3,4,9,94,sale
New,saburtalo,370000,4,5,11,180,sale
New,saburtalo,148500,1,2,2,54,sale
New,saburtalo,221400,2,3,9,92,sale
New,saburtalo,437400,3,4,9,162,sale
New,saburtalo,151200,2,3,2,80,sale
New,mtatsminda,326000,2,3,2,85,sale
New,vera,364500,2,3,3,120,sale
New,didube,122200,1,2,3,51,sale
New,didube,122500,1,2,2,48,sale
New,saburtalo,279600,2,3,3,130,sale
Old,vazisubani,141100,2,3,8,108,sale
Old,avlabari,18600,1,1,2,40,sale
Old,didube,42600,1,1,1,30,sale
Old,saburtalo,218000,2,3,4,110,sale
New,varketili,69200,1,2,2,42,sale
New,saburtalo,178400,2,3,3,84,sale
New,digomi,63700,1,2,5,52,sale
New,saburtalo,205000,2,3,9,84,sale
Old,saburtalo,173100,3,4,5,80,sale
New,saburtalo,191700,2,3,9,65,sale
New,digomi,53900,1,2,3,44,sale
New,didube,122200,1,2,3,51,sale
Old,saburtalo,279600,3,5,5,165,sale
Old,saburtalo,137000,2,2,6,70,sale
Old,vera,5e+05,2,3,2,135,sale
Old,saburtalo,209000,3,4,7,197,sale
Old,gldani,195000,3,4,8,125,sale
Old,samgori,93200,2,3,8,65,sale
